FUEL_CONSUMP,CARGO_CAPACITY,ENGINE_POWER,HAS_DUAL_PROP,NOX_EMISSIONS,CREW_SIZE,AGE_YEARS,PORT_DISTANCE,NAV_EQUIP_LEVEL,REG_FEES,MAINT_CREW_RATIO,PAINT_COVERAGE,RUST_AREA_PERCENT,MAINT_COST
-2.41,37.5,31.07,1,5.05,26.0,19.1,207.1,6,11.1,0.15,85.4,11.46,133.6
19.76,86.2,25.71,0,5.91,26.0,13.1,63.4,4,19.41,0.2,98.9,13.38,167.21
27.47,64.2,36.6,1,4.31,23.0,18.4,91.0,6,11.94,0.13,85.5,8.8,171.87
17.52,38.8,26.97,0,4.67,33.0,34.6,163.2,2,18.78,0.17,78.3,12.77,204.58
46.32,62.6,25.96,1,7.18,19.0,14.7,278.5,4,14.99,0.19,86.5,12.91,205.65
15.7,69.5,23.45,0,5.0,27.0,9.9,82.1,6,20.58,0.18,91.6,18.34,154.52
25.6,62.4,25.67,0,4.73,20.0,3.5,80.2,5,9.79,0.2,90.4,12.65,128.02
31.31,18.6,24.24,0,5.12,28.0,11.9,166.9,3,10.48,0.25,90.5,12.72,176.19
44.41,35.5,28.54,1,4.76,20.0,16.6,210.2,8,13.59,0.24,76.7,15.61,208.69
15.64,45.0,29.78,0,3.94,29.0,15.5,118.8,7,14.01,0.16,92.7,18.07,178.01
41.63,48.5,21.07,0,3.5,26.0,32.2,68.9,3,13.23,0.2,85.3,5.11,198.7
30.1,62.4,18.34,0,3.85,34.0,20.0,171.7,6,28.16,0.24,77.9,3.23,150.03
20.18,53.6,15.82,0,6.31,24.0,13.7,180.7,4,25.32,0.25,92.6,23.87,177.98
34.62,23.3,27.54,0,4.06,27.0,7.9,238.9,5,16.5,0.17,80.5,16.93,185.32
31.99,57.6,19.48,1,4.77,21.0,17.7,182.8,5,17.08,0.24,69.3,10.46,150.05
24.0,62.2,14.24,1,6.05,24.0,5.9,191.4,7,13.82,0.22,75.0,12.14,130.02
30.7,61.2,26.94,1,4.58,26.0,16.8,136.9,5,9.75,0.15,83.2,9.25,158.83
26.15,71.6,37.46,1,5.95,17.0,19.9,272.1,3,14.09,0.24,90.8,13.48,203.11
31.14,66.7,24.97,1,2.69,18.0,12.8,130.1,10,18.86,0.21,76.4,5.2,154.2
36.62,59.2,29.19,1,4.8,28.0,8.7,119.4,5,21.53,0.11,82.6,17.88,213.44
45.86,48.6,25.41,1,5.12,24.0,-6.9,240.5,7,19.98,0.19,72.8,13.23,161.76
17.62,16.8,24.51,0,5.03,22.0,26.4,76.3,5,7.45,0.2,94.8,13.48,166.39
51.33,58.6,29.6,1,2.52,21.0,19.0,57.6,5,13.55,0.17,102.2,5.74,193.74
10.48,54.2,23.55,0,6.8,22.0,19.3,156.0,9,7.66,0.26,101.1,15.67,143.22
28.48,55.4,26.34,0,3.72,26.0,-0.6,149.9,3,20.84,0.26,94.6,5.9,151.51
35.88,24.5,26.61,1,5.5,27.0,28.8,138.6,6,12.94,0.18,93.6,7.15,204.31
32.81,28.4,21.66,0,5.01,15.0,10.3,199.7,1,14.76,0.18,64.3,12.61,145.24
23.77,71.1,29.96,0,6.51,32.0,12.1,104.6,10,17.4,0.19,86.8,29.55,244.25
27.92,49.2,24.13,0,8.28,32.0,4.3,153.2,5,28.83,0.19,80.0,13.2,159.82
25.07,63.6,21.22,0,3.06,13.0,-2.9,132.0,8,16.34,0.17,93.8,-5.98,65.38
24.11,50.6,27.68,1,4.03,30.0,26.6,105.4,5,13.81,0.01,59.6,7.5,188.29
38.5,50.6,20.51,1,5.28,30.0,27.9,146.9,9,8.79,0.29,86.9,16.79,201.94
33.57,68.8,25.14,1,3.34,25.0,13.3,192.6,6,22.29,0.2,82.9,4.1,150.94
23.07,39.7,24.95,1,6.17,19.0,8.2,256.0,8,14.09,0.19,96.2,17.82,179.48
39.0,51.9,30.43,1,6.27,30.0,11.2,179.0,10,23.29,0.22,100.5,13.11,197.79
33.07,40.8,27.37,1,5.84,24.0,11.5,24.5,8,20.53,0.2,75.7,18.94,209.79
38.13,41.3,24.87,1,5.35,28.0,3.0,148.1,3,12.69,0.18,76.2,8.09,144.46
36.3,43.8,29.09,1,7.05,36.0,12.1,152.5,7,8.04,0.15,87.3,7.54,166.27
21.71,54.4,31.95,1,3.27,26.0,16.5,196.8,7,16.36,0.11,102.3,15.95,203.97
24.4,40.4,27.79,1,5.1,20.0,25.2,159.2,10,11.93,0.13,85.6,11.95,187.5
37.47,75.1,25.05,0,3.89,23.0,15.1,212.7,6,15.2,0.14,72.2,11.52,174.28
36.1,32.1,18.44,1,6.33,21.0,-0.8,169.6,7,20.25,0.23,78.9,22.98,172.53
29.79,46.3,19.67,0,2.25,27.0,18.5,227.9,2,6.73,0.24,87.0,16.23,168.29
31.17,41.2,23.47,0,4.96,21.0,12.4,128.1,9,16.32,0.16,87.4,-1.93,133.16
42.78,78.9,21.95,0,5.5,23.0,28.7,157.2,10,18.8,0.07,78.0,17.59,238.63
24.08,53.9,24.07,0,3.58,19.0,29.3,191.3,10,19.04,0.2,78.7,16.89,191.33
35.47,70.6,25.28,1,4.06,24.0,29.6,121.4,1,8.18,0.18,75.2,20.29,229.66
27.98,20.3,27.65,0,5.02,26.0,9.4,110.5,1,17.1,0.18,96.4,5.42,139.64
27.82,55.3,24.65,1,6.43,12.0,34.9,118.5,3,21.02,0.25,76.7,14.27,219.1
40.99,67.8,27.43,1,3.45,26.0,18.5,112.5,3,16.72,0.21,80.4,12.78,198.43
38.25,51.6,25.32,0,3.71,25.0,31.3,176.1,1,14.42,0.15,80.1,5.3,204.16
38.14,71.3,15.12,1,6.69,21.0,10.0,58.3,7,20.7,0.14,68.9,18.63,187.43
43.05,39.7,20.3,0,4.59,35.0,12.0,72.2,4,11.53,0.19,76.4,10.31,176.63
30.21,78.2,24.28,0,3.83,30.0,17.7,243.1,10,7.35,0.15,97.3,20.07,184.56
36.82,96.0,18.95,1,6.09,20.0,16.5,113.7,2,14.0,0.2,72.9,6.8,153.03
26.9,42.7,28.0,1,4.27,29.0,27.5,160.0,10,17.68,0.25,75.4,1.78,198.05
33.24,41.1,32.65,0,6.54,31.0,12.7,75.5,5,20.19,0.13,71.7,10.3,199.03
28.7,79.1,31.09,1,4.0,26.0,26.6,154.7,6,17.65,0.2,84.1,13.62,209.37
30.97,81.6,23.93,1,4.76,27.0,22.3,114.0,9,19.18,0.25,103.9,8.26,197.56
35.95,39.5,32.45,1,6.42,27.0,12.9,71.8,4,20.23,0.2,83.7,-9.45,141.17
21.82,41.6,25.74,0,4.66,15.0,21.5,216.8,2,13.3,0.24,85.7,14.69,165.24
50.92,44.4,23.31,0,6.13,24.0,10.3,209.1,5,14.26,0.19,77.0,14.65,187.91
19.94,23.1,21.93,1,4.9,24.0,38.5,144.6,3,21.44,0.21,84.4,16.81,228.78
17.86,31.6,23.49,1,7.97,32.0,-11.6,200.0,2,8.95,0.22,97.3,9.34,92.35
41.58,29.9,23.06,1,7.35,27.0,21.7,245.2,1,17.15,0.17,86.4,8.95,191.92
37.92,34.6,25.85,1,3.01,24.0,-2.6,187.7,10,11.42,0.3,106.3,22.08,184.57
36.24,49.3,25.8,1,5.78,25.0,12.7,174.0,2,20.5,0.23,97.6,0.97,137.21
36.28,54.7,25.02,0,3.78,30.0,14.1,159.9,6,14.91,0.27,84.1,10.27,174.51
29.88,81.0,27.18,1,5.29,24.0,30.1,182.5,8,15.04,0.25,83.9,13.0,196.29
21.03,30.0,30.95,0,5.1,22.0,8.1,131.8,3,23.64,0.22,101.3,16.24,156.19
30.76,69.7,29.75,1,3.42,24.0,28.1,136.2,9,9.62,0.27,86.4,13.19,197.16
23.23,45.7,17.58,0,6.59,30.0,3.2,172.5,9,16.08,0.21,99.1,5.55,113.7
39.75,49.0,12.23,1,5.3,27.0,28.5,126.3,2,14.1,0.16,105.0,20.17,217.66
28.53,63.5,29.67,0,4.57,25.0,10.3,131.7,8,17.66,0.2,83.0,12.01,153.01
21.75,27.5,18.17,1,4.34,26.0,15.7,150.0,10,24.65,0.15,88.5,0.32,134.21
26.79,57.6,23.88,0,5.21,22.0,11.6,207.5,5,11.97,0.09,94.8,13.46,170.32
34.13,53.3,19.15,0,5.61,24.0,27.8,93.4,4,9.01,0.16,92.7,15.33,203.16
24.36,59.8,15.99,0,4.81,22.0,25.9,188.0,10,10.95,0.2,92.6,25.73,224.69
21.78,55.8,27.71,0,0.75,24.0,19.4,189.6,5,13.84,0.25,71.7,14.86,189.23
32.44,99.1,28.8,0,5.03,32.0,3.5,189.3,4,15.32,0.16,76.5,1.63,121.56
32.45,37.2,22.12,0,2.84,20.0,7.8,109.7,8,15.57,0.25,80.0,1.87,128.32
24.93,39.4,12.04,1,4.69,22.0,4.7,65.4,4,24.01,0.14,97.1,20.81,162.77
25.29,37.5,22.27,0,2.89,19.0,-7.5,178.0,10,23.12,0.15,72.6,6.38,112.04
32.32,38.9,26.96,1,2.88,18.0,27.6,159.4,6,21.51,0.27,100.2,1.15,174.07
15.52,37.3,17.61,1,6.85,24.0,11.7,200.2,2,27.57,0.2,92.8,19.0,161.5
15.93,73.8,25.92,1,4.52,22.0,11.6,115.0,5,19.12,0.19,96.5,8.67,153.06
22.82,78.4,24.92,1,4.41,34.0,30.0,188.0,6,20.54,0.21,75.7,18.63,225.74
27.87,38.6,27.9,1,5.72,24.0,10.2,202.7,5,19.02,0.14,85.7,5.6,141.87
33.11,33.4,25.6,0,4.44,31.0,6.6,145.2,2,18.2,0.18,88.0,22.32,189.26
44.75,59.4,20.13,0,8.16,30.0,12.8,170.8,7,16.97,0.2,87.5,18.1,196.45
38.58,39.0,30.98,0,4.59,24.0,3.7,169.1,4,13.02,0.26,88.0,6.94,138.27
28.4,62.7,24.21,1,5.55,36.0,18.4,108.9,8,8.77,0.12,82.2,0.38,136.59
29.81,54.1,24.86,0,6.46,26.0,11.3,176.6,7,14.35,0.29,86.4,28.14,212.65
19.97,19.7,20.33,0,7.4,33.0,9.9,231.1,7,17.83,0.19,95.3,10.53,140.71
29.81,81.0,22.78,0,3.89,32.0,9.1,151.1,9,15.36,0.14,73.3,6.66,137.21
27.11,85.9,20.58,0,4.37,27.0,13.9,77.0,1,9.67,0.14,100.5,21.7,196.39
33.23,37.7,24.14,0,6.91,29.0,15.8,115.6,10,14.17,0.21,94.8,18.62,174.84
21.73,42.2,33.56,1,6.22,28.0,9.8,61.0,6,13.91,0.13,75.3,20.28,189.28
35.19,55.7,18.14,0,6.61,19.0,11.4,214.5,6,14.69,0.17,88.8,11.31,154.05
45.33,56.7,16.93,1,2.95,25.0,14.2,188.2,6,17.45,0.19,94.0,25.17,217.47
28.91,63.2,32.36,1,7.32,30.0,13.2,124.9,6,18.53,0.26,72.6,2.83,159.26
34.02,90.2,23.95,1,3.86,33.0,15.3,79.1,10,12.5,0.25,85.4,8.14,166.59
36.9,46.5,21.65,1,5.29,21.0,8.2,108.3,7,19.91,0.17,84.2,14.73,189.8
25.99,34.0,30.2,1,4.78,28.0,25.0,118.1,10,20.66,0.19,78.5,20.18,234.11
32.24,22.4,21.97,0,3.68,26.0,16.0,155.5,6,16.6,0.12,85.9,16.63,205.28
30.13,35.4,34.13,0,2.88,24.0,10.0,153.8,1,18.32,0.1,79.0,11.42,165.9
30.98,49.3,28.39,0,2.38,27.0,18.4,217.1,3,19.92,0.14,98.7,8.67,190.73
22.27,85.9,22.56,1,5.18,26.0,14.3,115.4,2,9.51,0.26,78.7,20.21,165.56
30.25,39.6,35.79,0,2.71,28.0,-2.3,74.6,6,20.27,0.24,92.9,17.35,168.94
34.98,54.5,21.97,0,3.3,32.0,18.4,92.2,8,11.05,0.22,68.4,5.88,155.67
44.51,49.7,28.71,1,4.67,29.0,4.8,148.8,3,11.54,0.13,83.4,5.67,164.89
39.59,73.8,26.5,1,1.04,27.0,24.3,113.6,10,15.98,0.16,85.1,8.18,204.59
51.53,100.5,31.51,1,6.17,34.0,12.6,135.4,8,4.28,0.16,83.1,7.28,179.42
22.33,39.4,32.81,1,1.39,31.0,22.8,127.3,8,15.88,0.19,81.0,19.21,219.06
38.72,40.2,25.16,0,4.88,25.0,8.7,199.5,5,19.91,0.19,78.3,15.05,179.43
31.83,70.9,21.23,1,5.02,19.0,15.7,120.7,8,6.77,0.15,92.5,15.9,165.42
51.9,63.6,27.3,1,5.81,20.0,27.1,131.1,6,20.45,0.22,95.0,13.34,240.16
21.92,86.9,21.61,0,4.94,30.0,12.3,185.9,5,11.51,0.21,84.2,13.67,136.16
21.6,61.7,35.07,0,8.03,22.0,9.1,121.8,9,16.03,0.16,74.0,0.93,131.82
24.01,42.8,25.68,1,5.32,20.0,21.6,171.2,7,12.23,0.22,102.9,17.56,189.38
8.76,61.8,23.17,0,6.58,21.0,21.4,166.6,8,17.86,0.26,76.2,8.06,135.95
24.74,72.2,25.92,1,3.91,22.0,9.5,157.1,1,20.12,0.27,70.4,11.77,157.77
22.41,66.4,18.26,1,5.18,29.0,-4.9,93.3,2,18.24,0.22,64.9,8.69,126.01
31.5,60.1,20.14,0,7.32,24.0,8.9,211.5,8,14.98,0.22,86.0,13.02,170.45
33.42,71.3,31.0,0,4.64,18.0,21.8,261.0,9,12.62,0.19,82.8,16.01,214.09
48.76,73.4,21.72,1,5.29,25.0,7.2,150.4,4,14.65,0.25,95.3,4.94,159.72
39.5,77.6,19.77,1,6.47,26.0,14.9,97.7,10,18.28,0.15,91.1,13.77,179.21
24.23,63.0,27.68,1,3.89,23.0,8.4,151.5,10,18.45,0.25,87.9,8.86,147.73
21.02,46.7,30.93,0,1.76,31.0,-4.3,199.5,9,17.75,0.19,82.3,21.25,160.19
34.92,52.9,28.59,1,5.38,23.0,8.2,119.2,4,8.59,0.27,96.1,4.2,148.9
16.8,74.1,29.98,1,6.48,31.0,21.7,143.6,10,14.88,0.23,103.7,4.98,158.01
48.31,33.7,21.22,1,2.97,28.0,-8.7,167.0,10,11.83,0.2,95.1,9.48,129.53
41.79,57.4,17.89,1,6.01,30.0,17.5,210.2,10,18.32,0.19,80.4,5.52,168.68
25.31,42.1,32.51,1,6.02,20.0,3.1,188.8,9,11.18,0.23,92.8,10.43,134.39
12.87,50.6,23.39,0,1.59,25.0,21.1,190.8,7,17.26,0.22,81.0,8.3,149.62
43.54,75.6,23.75,1,3.6,25.0,22.1,128.7,2,13.59,0.18,73.9,12.62,212.6
28.85,53.8,31.64,1,4.41,18.0,13.3,170.1,9,5.6,0.2,76.0,19.06,191.57
42.38,50.9,27.78,1,4.73,31.0,13.3,113.9,4,19.65,0.24,81.4,12.5,204.17
14.06,22.8,27.28,1,3.89,21.0,6.9,192.3,8,14.87,0.13,86.0,13.14,116.82
24.01,64.9,35.83,0,3.8,22.0,1.5,207.6,7,21.38,0.24,105.6,4.6,110.93
30.05,62.9,21.78,0,7.51,20.0,32.0,177.7,7,6.67,0.23,76.2,11.06,183.66
30.47,93.3,29.64,0,4.84,29.0,6.3,131.6,8,13.54,0.26,98.2,9.05,150.04
25.5,43.8,25.29,1,3.96,17.0,30.7,139.8,1,13.92,0.16,81.8,16.77,220.26
36.23,54.4,26.34,1,4.94,28.0,6.4,240.3,5,16.35,0.2,64.8,6.65,154.83
19.32,55.0,32.64,0,5.81,30.0,20.3,132.5,2,8.37,0.21,79.9,5.98,140.3
28.58,81.5,27.54,0,5.08,28.0,3.6,202.5,2,17.72,0.24,96.8,14.22,164.12
31.2,48.1,27.69,0,4.69,29.0,20.2,166.9,1,24.56,0.22,88.4,25.86,236.9
35.14,55.6,30.36,1,4.02,29.0,11.7,133.3,5,17.37,0.14,89.0,10.77,177.7
37.12,62.2,23.18,1,4.01,20.0,11.9,82.8,2,15.46,0.21,98.3,13.18,161.15
18.75,53.7,20.8,0,4.1,32.0,21.1,160.6,4,8.11,0.3,74.6,18.64,176.17
14.66,41.1,19.78,0,5.51,23.0,10.3,154.6,3,11.13,0.23,74.5,15.57,137.95
42.78,53.9,15.17,0,3.51,25.0,0.7,240.3,3,14.72,0.28,62.4,15.62,147.89
33.32,71.5,35.28,1,5.59,23.0,22.6,107.0,2,12.35,0.25,93.8,11.33,207.8
22.52,29.5,19.48,1,7.12,27.0,3.5,264.7,6,20.13,0.27,90.6,11.47,143.74
45.51,52.7,23.89,1,5.49,22.0,20.2,168.9,2,17.67,0.22,92.2,6.71,191.62
31.16,36.0,23.62,0,4.45,25.0,24.7,168.9,8,28.46,0.23,73.2,15.4,211.76
41.79,73.9,26.54,0,3.05,19.0,11.2,120.3,8,10.1,0.21,69.0,15.24,191.71
30.68,19.5,29.08,1,7.37,31.0,26.8,165.7,5,15.17,0.2,71.8,17.02,224.92
50.61,38.8,29.3,0,3.24,28.0,19.8,173.7,10,8.08,0.24,75.8,8.58,191.47
47.55,57.5,22.08,1,6.27,24.0,8.0,196.9,7,3.89,0.17,100.5,17.81,186.16
27.51,81.3,24.16,0,5.96,23.0,29.0,101.1,4,18.61,0.29,95.0,19.93,223.73
39.72,48.7,26.41,0,4.64,28.0,3.6,220.3,1,17.48,0.15,80.4,3.5,120.13
36.45,38.9,23.76,0,4.61,21.0,11.2,168.1,2,10.73,0.24,88.0,9.92,147.26
43.69,87.6,33.04,0,2.25,26.0,12.9,180.4,10,15.47,0.27,78.2,20.23,226.96
20.35,21.0,27.45,1,5.5,31.0,21.1,139.0,10,11.85,0.19,88.6,7.45,172.45
36.86,6.0,28.67,0,5.93,21.0,26.2,103.6,4,12.53,0.14,73.6,15.7,222.43
40.58,58.8,28.31,1,3.37,27.0,25.5,153.6,1,13.4,0.26,92.5,12.06,222.85
12.41,40.0,30.87,1,4.77,27.0,17.2,159.4,8,10.52,0.21,76.5,14.32,163.34
18.17,29.6,25.91,1,5.06,25.0,12.2,80.7,9,11.42,0.24,93.1,12.27,138.19
9.61,64.2,18.52,0,5.88,22.0,-3.3,189.7,4,11.56,0.19,80.7,17.22,102.29
27.31,54.9,27.0,1,5.01,31.0,1.9,199.8,10,17.11,0.29,77.1,4.85,109.39
37.18,38.7,21.74,1,2.56,22.0,32.7,113.5,3,1.13,0.09,101.1,5.61,194.22
45.02,24.4,22.36,1,4.21,16.0,-3.4,98.9,2,13.86,0.22,86.8,22.25,173.0
30.74,67.4,27.93,0,5.34,28.0,7.2,134.9,5,9.56,0.27,81.8,26.7,192.35
46.29,63.0,31.19,0,6.26,19.0,26.4,151.2,3,9.74,0.21,92.6,11.96,225.37
16.2,48.0,25.11,1,4.07,28.0,17.1,136.8,10,12.37,0.22,71.6,24.01,175.89
12.97,86.9,26.54,0,8.28,32.0,24.3,147.0,7,14.93,0.18,96.1,6.6,138.74
29.44,28.6,33.51,1,2.16,28.0,20.4,161.1,6,13.93,0.2,83.6,8.28,185.62
33.84,19.5,26.2,1,4.15,30.0,29.7,81.6,1,9.68,0.12,91.0,22.2,243.08
29.67,36.2,38.01,0,4.88,35.0,18.0,87.3,8,18.61,0.16,69.5,17.63,214.4
9.33,49.1,27.83,1,4.7,30.0,21.6,13.9,2,10.49,0.16,81.2,23.24,190.41
29.11,54.9,16.2,0,3.15,27.0,7.8,197.1,5,11.33,0.23,85.0,15.28,162.06
16.96,45.2,28.77,0,5.67,33.0,20.9,150.8,9,16.42,0.17,95.3,4.91,155.78
36.7,57.0,26.91,1,5.56,34.0,11.0,202.4,8,16.6,0.17,91.8,13.57,193.66
33.67,25.0,31.45,0,5.07,34.0,10.5,93.1,2,11.94,0.18,81.1,20.41,207.17
20.6,78.9,28.37,0,5.5,23.0,23.9,151.2,9,0.32,0.16,88.2,11.07,154.77
24.86,48.4,24.31,1,4.36,18.0,24.0,160.7,5,10.57,0.21,97.6,9.99,190.73
19.41,72.3,18.88,1,2.57,22.0,31.9,121.9,10,15.81,0.22,83.0,15.39,170.48
29.37,56.9,23.95,0,3.93,29.0,31.2,72.3,6,18.44,0.24,81.9,8.08,206.95
39.55,59.1,20.75,0,5.24,26.0,24.2,237.3,3,14.6,0.23,66.1,14.07,211.46
20.14,61.4,22.1,1,5.24,24.0,-2.2,220.0,3,12.61,0.23,82.2,12.44,121.74
35.04,59.0,27.94,0,5.06,28.0,33.3,130.9,10,26.47,0.18,67.6,8.57,219.67
24.7,62.9,33.35,0,5.82,18.0,24.2,175.5,8,13.14,0.18,83.9,18.87,202.66
22.07,76.6,26.97,0,4.13,26.0,7.3,125.8,10,18.06,0.16,94.9,16.52,171.72
28.93,53.9,19.02,0,5.04,31.0,22.3,100.2,10,8.32,0.16,63.8,9.52,162.8
19.65,64.2,27.22,0,5.86,28.0,4.6,241.4,2,9.55,0.21,97.3,11.9,123.31
24.46,48.2,30.98,0,4.87,28.0,21.2,67.2,2,18.24,0.16,81.7,10.1,187.83
18.02,78.8,21.95,0,3.14,33.0,1.8,135.7,5,20.22,0.27,84.7,7.53,132.13
49.65,36.5,24.33,1,3.56,25.0,6.9,154.2,6,13.05,0.2,80.0,0.11,129.08
30.35,86.0,25.07,1,6.25,22.0,22.1,232.6,2,5.76,0.28,67.9,8.61,190.97
23.0,49.2,21.08,1,7.09,31.0,25.7,194.8,5,14.16,0.23,77.2,7.63,158.38
32.14,21.4,28.24,1,6.76,31.0,18.3,66.4,7,15.95,0.16,106.0,12.8,183.95
28.88,52.6,24.4,1,5.35,28.0,12.1,149.9,10,15.49,0.2,74.0,15.08,164.08
27.79,36.4,27.1,0,3.2,24.0,-6.1,151.1,10,12.18,0.12,69.1,6.38,105.33
36.14,66.8,20.56,0,4.99,25.0,12.9,138.6,8,14.24,0.21,86.4,14.61,162.45
37.58,36.9,22.81,0,7.34,19.0,20.3,181.0,7,11.25,0.17,84.1,5.31,149.44
24.69,41.1,28.61,0,5.93,31.0,11.8,79.5,8,9.44,0.14,81.8,11.12,146.38
24.24,12.2,23.14,1,4.69,30.0,14.8,129.6,9,18.78,0.28,85.1,7.78,157.23
27.25,41.0,33.63,0,5.94,18.0,13.1,173.9,5,15.49,0.25,91.4,17.22,185.93
6.98,1.5,23.0,0,3.1,29.0,11.8,184.0,5,14.25,0.25,79.1,12.82,141.29
14.85,18.3,26.12,1,3.96,27.0,15.8,157.5,10,12.46,0.24,86.9,11.23,162.05
43.67,65.2,29.66,0,3.37,20.0,12.3,135.6,4,14.1,0.14,95.2,7.62,182.9
46.45,65.7,17.91,0,5.7,19.0,29.4,144.0,9,15.8,0.18,75.0,9.7,201.75
27.51,58.5,16.2,1,6.07,27.0,-7.1,187.0,5,23.64,0.18,61.8,24.8,144.63
35.77,30.7,17.37,0,4.77,23.0,9.5,151.7,2,18.27,0.11,91.7,8.49,130.11
33.11,49.0,31.31,0,3.69,34.0,6.3,97.9,10,11.67,0.17,110.0,15.36,184.76
60.79,49.9,22.24,0,4.97,30.0,17.2,88.3,8,11.72,0.17,84.9,11.21,221.06
41.2,26.8,37.79,0,4.27,27.0,15.8,75.5,7,10.94,0.21,87.0,15.16,202.5
28.72,80.1,22.18,0,3.81,28.0,31.2,222.8,8,14.0,0.33,82.0,17.86,199.27
20.44,67.5,25.92,1,5.51,32.0,34.5,190.4,3,10.94,0.2,100.9,9.52,180.79
13.94,45.6,32.71,1,3.86,29.0,7.3,144.7,4,17.37,0.21,84.2,16.97,164.29
32.03,50.5,35.03,1,2.65,27.0,15.0,127.3,5,1.78,0.19,83.1,31.3,236.03
22.44,54.2,35.31,1,2.98,20.0,17.0,121.3,6,17.68,0.24,94.1,15.97,201.05
15.78,9.2,31.04,1,2.6,40.0,7.0,204.7,1,16.38,0.15,80.2,23.3,181.69
23.53,45.1,30.12,1,5.37,19.0,21.3,245.2,4,21.31,0.29,72.2,15.37,193.52
19.18,36.4,27.96,0,5.23,23.0,12.6,119.7,10,19.38,0.19,93.8,5.48,146.1
46.87,30.0,28.89,1,5.15,17.0,4.3,206.9,5,11.58,0.18,79.1,13.93,159.19
38.82,44.4,22.24,1,5.88,28.0,12.2,151.4,7,18.82,0.25,75.2,9.69,179.38
29.92,86.0,20.91,0,6.79,26.0,5.0,139.4,5,14.16,0.16,106.0,7.83,127.28
44.8,62.8,24.98,0,4.11,29.0,25.4,225.2,1,5.33,0.24,83.2,11.49,209.4
30.77,38.6,24.15,1,5.61,16.0,34.0,149.5,7,15.79,0.27,89.9,10.92,209.81
21.39,61.5,22.73,0,2.63,31.0,17.4,164.8,8,11.88,0.19,85.3,4.58,128.32
45.23,78.0,28.48,1,7.07,21.0,16.1,162.4,7,15.0,0.3,76.1,30.96,252.53
35.39,68.5,29.78,0,3.13,24.0,16.5,68.7,4,23.26,0.23,91.9,17.66,187.04
19.63,51.2,25.44,1,3.93,30.0,26.8,164.4,8,16.12,0.23,88.1,13.71,198.32
28.1,37.1,32.39,0,4.1,26.0,26.6,121.9,5,9.91,0.27,78.4,12.63,197.42
21.24,64.0,19.29,0,2.71,27.0,13.8,78.9,10,19.82,0.28,89.3,20.42,191.17
16.17,57.9,24.03,1,5.05,29.0,17.5,124.1,9,16.81,0.21,79.9,26.53,200.0
39.26,67.9,21.42,1,5.32,27.0,21.5,123.7,10,9.32,0.24,74.0,16.8,214.96
49.09,62.7,15.67,1,4.72,23.0,3.6,201.5,5,6.97,0.27,72.9,12.85,150.96
16.01,71.0,24.59,1,2.69,24.0,27.1,96.8,1,10.11,0.14,87.7,22.31,174.72
35.63,39.3,24.39,1,7.98,26.0,32.3,110.5,9,19.18,0.11,81.2,13.0,222.55
23.49,76.3,32.57,0,5.82,21.0,26.7,161.8,5,13.49,0.2,100.0,15.05,191.19
25.13,54.0,28.15,1,8.95,30.0,2.5,83.7,6,15.41,0.11,84.6,19.01,158.41
